id,mac_address,status,used_time,user
404,44a92c200193,used,2021-07-22 14:38:45,GBM
405,44a92c200194,used,2021-07-22 14:38:45,GBM
406,44a92c200195,used,2021-07-22 14:38:45,GBM
407,44a92c200196,used,2021-07-22 14:38:45,GBM
408,44a92c200197,used,2021-07-22 14:38:45,GBM
409,44a92c200198,used,2021-07-22 14:38:45,GBM
410,44a92c200199,used,2021-07-22 14:38:45,GBM
411,44a92c20019A,used,2021-07-22 14:38:45,GBM
412,44a92c20019B,used,2021-07-22 14:38:45,GBM
413,44a92c20019C,used,2021-07-22 14:38:45,GBM
414,44a92c20019D,used,2021-07-22 14:38:45,GBM
415,44a92c20019E,used,2021-07-22 14:38:45,GBM
416,44a92c20019F,used,2021-07-22 14:38:45,GBM
417,44a92c2001A0,used,2021-07-22 14:38:45,GBM
418,44a92c2001A1,used,2021-07-22 14:38:45,GBM
419,44a92c2001A2,used,2021-07-22 14:38:45,GBM
420,44a92c2001A3,used,2021-07-22 14:38:45,GBM
421,44a92c2001A4,used,2021-07-22 14:38:45,GBM
422,44a92c2001A5,used,2021-07-22 14:38:45,GBM
423,44a92c2001A6,used,2021-07-22 14:38:45,GBM
424,44a92c2001A7,used,2021-07-22 14:38:45,GBM
425,44a92c2001A8,used,2021-07-22 14:38:45,GBM
426,44a92c2001A9,used,2021-07-22 14:38:45,GBM
427,44a92c2001AA,used,2021-07-22 14:38:45,GBM
428,44a92c2001AB,used,2021-07-22 14:38:45,GBM
429,44a92c2001AC,used,2021-07-22 14:38:45,GBM
430,44a92c2001AD,used,2021-07-22 14:38:45,GBM
431,44a92c2001AE,used,2021-07-22 14:38:45,GBM
432,44a92c2001AF,used,2021-07-22 14:38:45,GBM
433,44a92c2001B0,used,2021-07-22 14:38:45,GBM
434,44a92c2001B1,used,2021-07-22 14:38:45,GBM
435,44a92c2001B2,used,2021-07-22 14:38:45,GBM
436,44a92c2001B3,used,2021-07-22 14:38:45,GBM
437,44a92c2001B4,used,2021-07-22 14:38:45,GBM
438,44a92c2001B5,used,2021-07-22 14:38:45,GBM
439,44a92c2001B6,used,2021-07-22 14:38:45,GBM
440,44a92c2001B7,used,2021-07-22 14:38:45,GBM
441,44a92c2001B8,used,2021-07-22 14:38:45,GBM
442,44a92c2001B9,used,2021-07-22 14:38:45,GBM
443,44a92c2001BA,used,2021-07-22 14:38:45,GBM
444,44a92c2001BB,used,2021-07-22 14:38:45,GBM
445,44a92c2001BC,used,2021-07-22 14:38:45,GBM
446,44a92c2001BD,used,2021-07-22 14:38:45,GBM
447,44a92c2001BE,used,2021-07-22 14:38:45,GBM
448,44a92c2001BF,used,2021-07-22 14:38:45,GBM
449,44a92c2001C0,used,2021-07-22 14:38:45,GBM
450,44a92c2001C1,used,2021-07-22 14:38:45,GBM
451,44a92c2001C2,used,2021-07-22 14:38:45,GBM
452,44a92c2001C3,used,2021-07-22 14:38:45,GBM
453,44a92c2001C4,used,2021-07-22 14:38:45,GBM
454,44a92c2001C5,used,2021-07-22 14:38:45,GBM
455,44a92c2001C6,used,2021-07-22 14:38:45,GBM
456,44a92c2001C7,used,2021-07-22 14:38:45,GBM
457,44a92c2001C8,used,2021-07-22 14:38:45,GBM
458,44a92c2001C9,used,2021-07-22 14:38:45,GBM
459,44a92c2001CA,used,2021-07-22 14:38:45,GBM
460,44a92c2001CB,used,2021-07-22 14:38:45,GBM
461,44a92c2001CC,used,2021-07-22 14:38:45,GBM
462,44a92c2001CD,used,2021-07-22 14:38:45,GBM
463,44a92c2001CE,used,2021-07-22 14:38:45,GBM
464,44a92c2001CF,used,2021-07-22 14:38:45,GBM
465,44a92c2001D0,used,2021-07-22 14:38:45,GBM
466,44a92c2001D1,used,2021-07-22 14:38:45,GBM
467,44a92c2001D2,used,2021-07-22 14:38:45,GBM
468,44a92c2001D3,used,2021-07-22 14:38:45,GBM
469,44a92c2001D4,used,2021-07-22 14:38:45,GBM
470,44a92c2001D5,used,2021-07-22 14:38:45,GBM
471,44a92c2001D6,used,2021-07-22 14:38:45,GBM
472,44a92c2001D7,used,2021-07-22 14:38:45,GBM
473,44a92c2001D8,used,2021-07-22 14:38:45,GBM
474,44a92c2001D9,used,2021-07-22 14:38:45,GBM
475,44a92c2001DA,used,2021-07-22 14:38:45,GBM
476,44a92c2001DB,used,2021-07-22 14:38:45,GBM
477,44a92c2001DC,used,2021-07-22 14:38:45,GBM
478,44a92c2001DD,used,2021-07-22 14:38:45,GBM
479,44a92c2001DE,used,2021-07-22 14:38:45,GBM
480,44a92c2001DF,used,2021-07-22 14:38:45,GBM
481,44a92c2001E0,used,2021-07-22 14:38:45,GBM
